"","...1","Year","Datetime","Stage","Stadium","City","Home_Team_Name","Home_Team_Goals","Away_Team_Goals","Away_Team_Name","Win_Conditions","Attendance","Half-time_Home_Goals","Half-time_Away_Goals","Referee","Assistant_1","Assistant_2","RoundID","MatchID","Home_Team_Initials","Away_Team_Initials"
"604",604,2002,2002-06-08 15:30:00,"Group B","Daegu World Cup Stadium","Daegu","South Africa",1,0,"Slovenia",NA,47226,1,0,"SANCHEZ Angel (ARG)","RATTALINO Jorge (ARG)","ALTRAIFI Ali (KSA)",43950100,43950024,"RSA","SVN"
"605",605,2002,2002-06-08 20:30:00,"Group C","Jeju World Cup Stadium","Jeju","Brazil",4,0,"China PR",NA,36750,3,0,"FRISK Anders (SWE)","LINDBERG Leif (SWE)","FIERRO Bomer (ECU)",43950100,43950026,"BRA","CHN"
"606",606,2002,2002-06-08 18:00:00,"Group G","Kashima Stadium","Ibaraki","Italy",1,2,"Croatia",NA,36472,0,0,"POLL Graham (ENG)","SHARP Philip (ENG)","LARSEN Jens (DEN)",43950100,43950025,"ITA","CRO"
"607",607,2002,2002-06-09 18:00:00,"Group C","Incheon Football Stadium","Incheon","Costa Rica",1,1,"Turkey",NA,42299,0,0,"CODJIA Coffi (BEN)","DANTE Dramane (MLI)","MUDZAMIRI Brighton (ZIM)",43950100,43950028,"CRC","TUR"
"608",608,2002,2002-06-09 20:30:00,"Group H","International Stadium Yokohama","Yokohama","Japan",1,0,"Russia",NA,66108,0,0,"MERK Markus (GER)","MUELLER Heiner (GER)","AMLER Evzen (CZE)",43950100,43950029,"JPN","RUS"
"609",609,2002,2002-06-09 15:30:00,"Group G","Miyagi Stadium","Rifu","Mexico",2,1,"Ecuador",NA,45610,1,1,"DAAMI Mourad (TUN)","ADJENGUI Taoufik (TUN)","KOLEIT Haidar (LIB)",43950100,43950027,"MEX","ECU"
"610",610,2002,2002-06-10 15:30:00,"Group D","Daegu World Cup Stadium","Daegu","Korea Republic",1,1,"USA",NA,60778,0,1,"MEIER Urs (SUI)","BEREUTER Egon (AUT)","TOMUSANGE Ali (UGA)",43950100,43950030,"KOR","USA"
"611",611,2002,2002-06-10 20:30:00,"Group D","Jeonju World Cup Stadium","Jeonju","Portugal",4,0,"Poland",NA,31000,1,0,"DALLAS Hugh (SCO)","SRAMKA Igor (SVK)","FARAG Wagih (EGY)",43950100,43950032,"POR","POL"
"612",612,2002,2002-06-10 18:00:00,"Group H","Oita Stadium Big Eye","Oita","Tunisia",1,1,"Belgium",NA,39700,1,1,"SHIELD Mark (AUS)","SMITH Paul (NZL)","KOMALEESWARAN Sankar (IND)",43950100,43950031,"TUN","BEL"
"613",613,2002,2002-06-11 15:30:00,"Group A","Incheon Football Stadium","Incheon","Denmark",2,0,"France",NA,48100,1,0,"MELO PEREIRA Vitor (POR)","MATOS Carlos (POR)","DORIRI Elise (VAN)",43950100,43950033,"DEN","FRA"
"614",614,2002,2002-06-11 15:30:00,"Group A","Suwon World Cup Stadium","Suwon","Senegal",3,3,"Uruguay",NA,33681,3,0,"WEGEREEF Jan (NED)","POOL Jaap (NED)","SZEKELY Ferenc (HUN)",43950100,43950034,"SEN","URU"
"615",615,2002,2002-06-11 20:30:00,"Group E","International Stadium Yokohama","Yokohama","Saudi Arabia",0,3,"rn"">Republic of Ireland",NA,65320,0,1,"NDOYE Falla (SEN)","WIERZBOWSKI Maciej (POL)","ARNAULT Frederic (FRA)",43950100,43950036,"KSA","IRL"
"616",616,2002,2002-06-11 20:30:00,"Group E","Shizuoka Stadium Ecopa","Shizuoka","Cameroon",0,2,"Germany",NA,47085,0,0,"LOPEZ NIETO Antonio (ESP)","SAEED Mohamed (MDV)","OLIVEIRA Jorge (BRA)",43950100,43950035,"CMR","GER"
"617",617,2002,2002-06-12 15:30:00,"Group F","Miyagi Stadium","Rifu","Sweden",1,1,"Argentina",NA,45777,0,0,"BUJSAIM Ali (UAE)","MUELLER Heiner (GER)","RAGOONATH Michael (TRI)",43950100,43950037,"SWE","ARG"
"618",618,2002,2002-06-12 15:30:00,"Group F","Osaka Nagai Stadium","Osaka","Nigeria",0,0,"England",NA,44864,0,0,"HALL Brian (USA)","VERGARA Hector (CAN)","AMLER Evzen (CZE)",43950100,43950038,"NGA","ENG"
"619",619,2002,2002-06-12 20:30:00,"Group B","Jeju World Cup Stadium","Jeju","Slovenia",1,3,"Paraguay",NA,30176,1,0,"RAMOS RIZO Felipe (MEX)","LINDBERG Leif (SWE)","KRISHNAN Visva (SIN)",43950100,43950040,"SVN","PAR"
"620",620,2002,2002-06-12 20:30:00,"Group B","Daejeon World Cup Stadium","Daejeon","South Africa",2,3,"Spain",NA,31024,1,2,"MANE Saad (KUW)","RATTALINO Jorge (ARG)","HASSOUNEH Awni (JOR)",43950100,43950039,"RSA","ESP"
"621",621,2002,2002-06-13 15:30:00,"Group C","Suwon World Cup Stadium","Suwon","Costa Rica",2,5,"Brazil",NA,38524,1,3,"EL GHANDOUR Gamal (EGY)","FARAG Wagih (EGY)","BEREUTER Egon (AUT)",43950100,43950041,"CRC","BRA"
"622",622,2002,2002-06-13 15:30:00,"Group C","Seoul World Cup Stadium","Seoul","Turkey",3,0,"China PR",NA,43605,2,0,"RUIZ Oscar (COL)","TOMUSANGE Ali (UGA)","CHARLES Curtis (ATG)",43950100,43950042,"TUR","CHN"
"623",623,2002,2002-06-13 20:30:00,"Group G","International Stadium Yokohama","Yokohama","Ecuador",1,0,"Croatia",NA,65862,0,0,"MATTUS William (CRC)","GIACOMUZZI Miguel (PAR)","VAN NYLEN Roland (BEL)",43950100,43950044,"ECU","CRO"
"624",624,2002,2002-06-13 20:30:00,"Group G","Oita Stadium Big Eye","Oita","Mexico",1,1,"Italy",NA,39291,1,0,"SIMON Carlos (BRA)","OLIVEIRA Jorge (BRA)","AWANG HAMAT Mat Lazim (MAS)",43950100,43950043,"MEX","ITA"
"625",625,2002,2002-06-14 15:30:00,"Group H","Osaka Nagai Stadium","Osaka","Tunisia",0,2,"Japan",NA,45213,0,0,"VEISSIERE Gilles (FRA)","ARNAULT Frederic (FRA)","KOLEIT Haidar (LIB)",43950100,43950045,"TUN","JPN"
"626",626,2002,2002-06-14 20:30:00,"Group D","Incheon Football Stadium","Incheon","Portugal",0,1,"Korea Republic",NA,50239,0,0,"SANCHEZ Angel (ARG)","ALTRAIFI Ali (KSA)","SZEKELY Ferenc (HUN)",43950100,43950047,"POR","KOR"
"627",627,2002,2002-06-14 20:30:00,"Group D","Daejeon World Cup Stadium","Daejeon","Poland",3,1,"USA",NA,26482,2,0,"LU Jun (CHN)","FIERRO Bomer (ECU)","POOL Jaap (NED)",43950100,43950048,"POL","USA"
"628",628,2002,2002-06-14 15:30:00,"Group H","Shizuoka Stadium Ecopa","Shizuoka","Belgium",3,2,"Russia",NA,46640,1,0,"NIELSEN Kim Milton (DEN)","SHARP Philip (ENG)","KOMALEESWARAN Sankar (IND)",43950100,43950046,"BEL","RUS"
"629",629,2002,2002-06-15 20:30:00,"Round of 16","Niigata Stadium Big Swan","Niigata","Denmark",0,3,"England",NA,40582,0,3,"MERK Markus (GER)","MUELLER Heiner (GER)","AMLER Evzen (CZE)",43950200,43950050,"DEN","ENG"
"630",630,2002,2002-06-15 15:30:00,"Round of 16","Jeju World Cup Stadium","Jeju","Germany",1,0,"Paraguay",NA,25176,0,0,"BATRES Carlos (GUA)","CHARLES Curtis (ATG)","DANTE Dramane (MLI)",43950200,43950049,"GER","PAR"
"631",631,2002,2002-06-16 20:30:00,"Round of 16","Suwon World Cup Stadium","Suwon","Spain",1,1,"rn"">Republic of Ireland","Spain win on penalties (3 - 2)",38926,0,0,"FRISK Anders (SWE)","LINDBERG Leif (SWE)","SRAMKA Igor (SVK)",43950200,43950052,"ESP","IRL"
"632",632,2002,2002-06-16 15:30:00,"Round of 16","Oita Stadium Big Eye","Oita","Sweden",1,2,"Senegal","Win on Golden Goal",39747,0,0,"AQUINO Ubaldo (PAR)","GIACOMUZZI Miguel (PAR)","VERGARA Hector (CAN)",43950200,43950051,"SWE","SEN"
"633",633,2002,2002-06-17 20:30:00,"Round of 16","Kobe Wing Stadium","Kobe","Brazil",2,0,"Belgium",NA,40440,0,0,"PRENDERGAST Peter (JAM)","DUPANOV Yuri (BLR)","SAEED Mohamed (MDV)",43950200,43950054,"BRA","BEL"
"634",634,2002,2002-06-17 15:30:00,"Round of 16","Jeonju World Cup Stadium","Jeonju","Mexico",0,2,"USA",NA,36380,0,1,"MELO PEREIRA Vitor (POR)","MATOS Carlos (POR)","BEREUTER Egon (AUT)",43950200,43950053,"MEX","USA"
"635",635,2002,2002-06-18 15:30:00,"Round of 16","Miyagi Stadium","Rifu","Japan",0,1,"Turkey",NA,45666,0,1,"COLLINA Pierluigi (ITA)","WIERZBOWSKI Maciej (POL)","SMITH Paul (NZL)",43950200,43950055,"JPN","TUR"
"636",636,2002,2002-06-18 20:30:00,"Round of 16","Daejeon World Cup Stadium","Daejeon","Korea Republic",2,1,"Italy","Win on Golden Goal",38588,0,0,"MORENO Byron (ECU)","RATTALINO Jorge (ARG)","SZEKELY Ferenc (HUN)",43950200,43950056,"KOR","ITA"
"637",637,2002,2002-06-21 15:30:00,"Quarter-finals","Shizuoka Stadium Ecopa","Shizuoka","England",1,2,"Brazil",NA,47436,1,1,"RAMOS RIZO Felipe (MEX)","VERGARA Hector (CAN)","SAEED Mohamed (MDV)",43950300,43950057,"ENG","BRA"
"638",638,2002,2002-06-21 20:30:00,"Quarter-finals","Munsu Football Stadium","Ulsan","Germany",1,0,"USA",NA,37337,1,0,"DALLAS Hugh (SCO)","SHARP Philip (ENG)","ALTRAIFI Ali (KSA)",43950300,43950058,"GER","USA"
"639",639,2002,2002-06-22 20:30:00,"Quarter-finals","Osaka Nagai Stadium","Osaka","Senegal",0,1,"Turkey","Win on Golden Goal",44233,0,0,"RUIZ Oscar (COL)","RATTALINO Jorge (ARG)","GIACOMUZZI Miguel (PAR)",43950300,43950060,"SEN","TUR"
"640",640,2002,2002-06-22 15:30:00,"Quarter-finals","Gwangju World Cup Stadium","Gwangju","Spain",0,0,"Korea Republic","Korea Republic win on penalties (3 - 5)",42114,0,0,"EL GHANDOUR Gamal (EGY)","TOMUSANGE Ali (UGA)","RAGOONATH Michael (TRI)",43950300,43950059,"ESP","KOR"
"641",641,2002,2002-06-25 20:30:00,"Semi-finals","Seoul World Cup Stadium","Seoul","Germany",1,0,"Korea Republic",NA,65256,0,0,"MEIER Urs (SUI)","ARNAULT Frederic (FRA)","AMLER Evzen (CZE)",43950400,43950061,"GER","KOR"
"642",642,2002,2002-06-26 20:30:00,"Semi-finals","Saitama Stadium 2002","Saitama","Brazil",1,0,"Turkey",NA,61058,0,0,"NIELSEN Kim Milton (DEN)","WIERZBOWSKI Maciej (POL)","SRAMKA Igor (SVK)",43950400,43950062,"BRA","TUR"
"643",643,2002,2002-06-29 20:00:00,"Third place","Daegu World Cup Stadium","Daegu","Korea Republic",2,3,"Turkey",NA,63483,1,3,"MANE Saad (KUW)","ALTRAIFI Ali (KSA)","VERGARA Hector (CAN)",43950500,43950063,"KOR","TUR"
"644",644,2002,2002-06-30 20:00:00,"Final","International Stadium Yokohama","Yokohama","Germany",0,2,"Brazil",NA,69029,0,0,"COLLINA Pierluigi (ITA)","LINDBERG Leif (SWE)","SHARP Philip (ENG)",43950600,43950064,"GER","BRA"
"645",645,2006,2006-06-09 18:00:00,"Group A","FIFA World Cup Stadium, Munich","Munich","Germany",4,2,"Costa Rica",NA,66000,2,1,"ELIZONDO Horacio (ARG)","GARCIA Dario (ARG)","OTERO Rodolfo (ARG)",97410100,97410001,"GER","CRC"
"646",646,2006,2006-06-09 21:00:00,"Group A","FIFA World Cup Stadium, Gelsenkirchen","Gelsenkirchen","Poland",0,2,"Ecuador",NA,52000,0,1,"KAMIKAWA Toru (JPN)","HIROSHIMA Yoshikazu (JPN)","KIM Dae Young (KOR)",97410100,97410002,"POL","ECU"
"647",647,2006,2006-06-10 15:00:00,"Group B","FIFA World Cup Stadium, Frankfurt","Frankfurt/Main","England",1,0,"Paraguay",NA,48000,1,0,"RODRIGUEZ Marco (MEX)","CAMARGO Jose Luis (MEX)","LEAL Leonel (CRC)",97410100,97410003,"ENG","PAR"
"648",648,2006,2006-06-10 18:00:00,"Group B","FIFA World Cup Stadium, Dortmund","Dortmund","rn"">Trinidad and Tobago",0,0,"Sweden",NA,62959,0,0,"MAIDIN Shamsul (SIN)","PERMPANICH Prachya (THA)","GHULOUM Eisa (UAE)",97410100,97410004,"TRI","SWE"
"649",649,2006,2006-06-10 21:00:00,"Group C","FIFA World Cup Stadium, Hamburg","Hamburg","Argentina",2,1,"C�te d'Ivoire",NA,49480,2,0,"DE BLEECKERE Frank (BEL)","HERMANS Peter (BEL)","VROMANS Walter (BEL)",97410100,97410005,"ARG","CIV"
"650",650,2006,2006-06-11 15:00:00,"Group C","Zentralstadion","Leipzig","rn"">Serbia and Montenegro",0,1,"Netherlands",NA,43000,0,1,"MERK Markus (GER)","SCHRAER Christian (GER)","SALVER Jan-Hendrik (GER)",97410100,97410006,"SCG","NED"
"651",651,2006,2006-06-11 18:00:00,"Group D","Franken-Stadion","Nuremberg","Mexico",3,1,"Iran",NA,41000,1,1,"ROSETTI Roberto (ITA)","COPELLI Cristiano (ITA)","STAGNOLI Alessandro (ITA)",97410100,97410007,"MEX","IRN"
"652",652,2006,2006-06-11 21:00:00,"Group D","FIFA World Cup Stadium, Cologne","Cologne","Angola",0,1,"Portugal",NA,45000,0,1,"LARRIONDA Jorge (URU)","RIAL Walter (URU)","FANDINO Pablo (URU)",97410100,97410008,"ANG","POR"
"653",653,2006,2006-06-12 15:00:00,"Group F","Fritz-Walter-Stadion","Kaiserslautern","Australia",3,1,"Japan",NA,46000,0,1,"ABD EL FATAH Essam (EGY)","DANTE Dramane (MLI)","NDOYE Mamadou (SEN)",97410100,97410012,"AUS","JPN"
"654",654,2006,2006-06-12 18:00:00,"Group E","FIFA World Cup Stadium, Gelsenkirchen","Gelsenkirchen","USA",0,3,"Czech Republic",NA,52000,0,2,"AMARILLA Carlos (PAR)","ANDINO Amelio (PAR)","BERNAL Manuel (PAR)",97410100,97410010,"USA","CZE"
"655",655,2006,2006-06-12 21:00:00,"Group E","FIFA World Cup Stadium, Hanover","Hanover","Italy",2,0,"Ghana",NA,43000,1,0,"SIMON Carlos (BRA)","TAVARES Aristeu (BRA)","CORONA Ednilson (BRA)",97410100,97410009,"ITA","GHA"
"656",656,2006,2006-06-13 15:00:00,"Group G","FIFA World Cup Stadium, Frankfurt","Frankfurt/Main","Korea Republic",2,1,"Togo",NA,48000,0,1,"POLL Graham (ENG)","SHARP Philip (ENG)","TURNER Glenn (ENG)",97410100,97410014,"KOR","TOG"
"657",657,2006,2006-06-13 18:00:00,"Group G","Gottlieb-Daimler-Stadion","Stuttgart","France",0,0,"Switzerland",NA,52000,0,0,"IVANOV Valentin (RUS)","GOLUBEV Nikolai (RUS)","VOLNIN Evgueni (RUS)",97410100,97410013,"FRA","SUI"
"658",658,2006,2006-06-13 21:00:00,"Group F","Olympiastadion","Berlin","Brazil",1,0,"Croatia",NA,72000,1,0,"ARCHUNDIA Benito (MEX)","RAMIREZ Jose (MEX)","VERGARA Hector (CAN)",97410100,97410011,"BRA","CRO"
"659",659,2006,2006-06-14 15:00:00,"Group H","Zentralstadion","Leipzig","Spain",4,0,"Ukraine",NA,43000,2,0,"BUSACCA Massimo (SUI)","BURAGINA Francesco (SUI)","ARNET Matthias (SUI)",97410100,97410015,"ESP","UKR"
"660",660,2006,2006-06-14 18:00:00,"Group H","FIFA World Cup Stadium, Munich","Munich","Tunisia",2,2,"Saudi Arabia",NA,66000,1,0,"SHIELD Mark (AUS)","GIBSON Nathan (AUS)","WILSON Ben (AUS)",97410100,97410016,"TUN","KSA"
"661",661,2006,2006-06-14 21:00:00,"Group A","FIFA World Cup Stadium, Dortmund","Dortmund","Germany",1,0,"Poland",NA,65000,0,0,"MEDINA CANTALEJO Luis (ESP)","GIRALDEZ CARRASCO Victoriano (ESP)","MEDINA HERNANDEZ Pedro (ESP)",97410100,97410017,"GER","POL"
"662",662,2006,2006-06-15 15:00:00,"Group A","FIFA World Cup Stadium, Hamburg","Hamburg","Ecuador",3,0,"Costa Rica",NA,50000,1,0,"CODJIA Coffi (BEN)","NTAGUNGIRA Celestin (RWA)","ADERODJOU Aboudou (BEN)",97410100,97410018,"ECU","CRC"
"663",663,2006,2006-06-15 18:00:00,"Group B","Franken-Stadion","Nuremberg","England",2,0,"rn"">Trinidad and Tobago",NA,41000,0,0,"KAMIKAWA Toru (JPN)","HIROSHIMA Yoshikazu (JPN)","KIM Dae Young (KOR)",97410100,97410019,"ENG","TRI"
"664",664,2006,2006-06-15 21:00:00,"Group B","Olympiastadion","Berlin","Sweden",1,0,"Paraguay",NA,72000,0,0,"MICHEL Lubos (SVK)","Roman SLYSKO (SVK)","BALKO Martin (SVK)",97410100,97410020,"SWE","PAR"
"665",665,2006,2006-06-16 15:00:00,"Group C","FIFA World Cup Stadium, Gelsenkirchen","Gelsenkirchen","Argentina",6,0,"rn"">Serbia and Montenegro",NA,52000,3,0,"ROSETTI Roberto (ITA)","COPELLI Cristiano (ITA)","STAGNOLI Alessandro (ITA)",97410100,97410021,"ARG","SCG"
"666",666,2006,2006-06-16 18:00:00,"Group C","Gottlieb-Daimler-Stadion","Stuttgart","Netherlands",2,1,"C�te d'Ivoire",NA,52000,2,1,"RUIZ Oscar (COL)","TAMAYO Fernando (ECU)","NAVIA Jose (COL)",97410100,97410022,"NED","CIV"
"667",667,2006,2006-06-16 21:00:00,"Group D","FIFA World Cup Stadium, Hanover","Hanover","Mexico",0,0,"Angola",NA,43000,0,0,"MAIDIN Shamsul (SIN)","PERMPANICH Prachya (THA)","GHULOUM Eisa (UAE)",97410100,97410023,"MEX","ANG"
"668",668,2006,2006-06-17 15:00:00,"Group D","FIFA World Cup Stadium, Frankfurt","Frankfurt/Main","Portugal",2,0,"IR Iran",NA,48000,0,0,"POULAT Eric (FRA)","DAGORNE Lionel (FRA)","TEXIER Vincent (FRA)",97410100,97410024,"POR","IRN"
"669",669,2006,2006-06-17 18:00:00,"Group E","FIFA World Cup Stadium, Cologne","Cologne","Czech Republic",0,2,"Ghana",NA,45000,0,1,"ELIZONDO Horacio (ARG)","GARCIA Dario (ARG)","OTERO Rodolfo (ARG)",97410100,97410026,"CZE","GHA"
"670",670,2006,2006-06-17 21:00:00,"Group E","Fritz-Walter-Stadion","Kaiserslautern","Italy",1,1,"USA",NA,46000,1,1,"LARRIONDA Jorge (URU)","RIAL Walter (URU)","FANDINO Pablo (URU)",97410100,97410025,"ITA","USA"
"671",671,2006,2006-06-18 15:00:00,"Group F","Franken-Stadion","Nuremberg","Japan",0,0,"Croatia",NA,41000,0,0,"DE BLEECKERE Frank (BEL)","HERMANS Peter (BEL)","VROMANS Walter (BEL)",97410100,97410028,"JPN","CRO"
"672",672,2006,2006-06-18 18:00:00,"Group F","FIFA World Cup Stadium, Munich","Munich","Brazil",2,0,"Australia",NA,66000,0,0,"MERK Markus (GER)","SCHRAER Christian (GER)","SALVER Jan-Hendrik (GER)",97410100,97410027,"BRA","AUS"
"673",673,2006,2006-06-18 21:00:00,"Group G","Zentralstadion","Leipzig","France",1,1,"Korea Republic",NA,43000,1,0,"ARCHUNDIA Benito (MEX)","RAMIREZ Jose (MEX)","VERGARA Hector (CAN)",97410100,97410029,"FRA","KOR"
"674",674,2006,2006-06-19 15:00:00,"Group G","FIFA World Cup Stadium, Dortmund","Dortmund","Togo",0,2,"Switzerland",NA,65000,0,1,"AMARILLA Carlos (PAR)","ANDINO Amelio (PAR)","BERNAL Manuel (PAR)",97410100,97410030,"TOG","SUI"
"675",675,2006,2006-06-19 18:00:00,"Group H","FIFA World Cup Stadium, Hamburg","Hamburg","Saudi Arabia",0,4,"Ukraine",NA,50000,0,2,"POLL Graham (ENG)","SHARP Philip (ENG)","TURNER Glenn (ENG)",97410100,97410032,"KSA","UKR"
"676",676,2006,2006-06-19 21:00:00,"Group H","Gottlieb-Daimler-Stadion","Stuttgart","Spain",3,1,"Tunisia",NA,52000,0,1,"SIMON Carlos (BRA)","TAVARES Aristeu (BRA)","CORONA Ednilson (BRA)",97410100,97410031,"ESP","TUN"
"677",677,2006,2006-06-20 16:00:00,"Group A","Olympiastadion","Berlin","Ecuador",0,3,"Germany",NA,72000,0,2,"IVANOV Valentin (RUS)","GOLUBEV Nikolai (RUS)","VOLNIN Evgueni (RUS)",97410100,97410033,"ECU","GER"
"678",678,2006,2006-06-20 16:00:00,"Group A","FIFA World Cup Stadium, Hanover","Hanover","Costa Rica",1,2,"Poland",NA,43000,1,1,"MAIDIN Shamsul (SIN)","PERMPANICH Prachya (THA)","GHULOUM Eisa (UAE)",97410100,97410034,"CRC","POL"
"679",679,2006,2006-06-20 21:00:00,"Group B","FIFA World Cup Stadium, Cologne","Cologne","Sweden",2,2,"England",NA,45000,0,1,"BUSACCA Massimo (SUI)","BURAGINA Francesco (SUI)","ARNET Matthias (SUI)",97410100,97410035,"SWE","ENG"
"680",680,2006,2006-06-20 21:00:00,"Group B","Fritz-Walter-Stadion","Kaiserslautern","Paraguay",2,0,"rn"">Trinidad and Tobago",NA,46000,1,0,"ROSETTI Roberto (ITA)","COPELLI Cristiano (ITA)","STAGNOLI Alessandro (ITA)",97410100,97410036,"PAR","TRI"
"681",681,2006,2006-06-21 16:00:00,"Group D","Zentralstadion","Leipzig","Iran",1,1,"Angola",NA,38000,0,0,"SHIELD Mark (AUS)","GIBSON Nathan (AUS)","WILSON Ben (AUS)",97410100,97410040,"IRN","ANG"
"682",682,2006,2006-06-21 16:00:00,"Group D","FIFA World Cup Stadium, Gelsenkirchen","Gelsenkirchen","Portugal",2,1,"Mexico",NA,52000,2,1,"MICHEL Lubos (SVK)","Roman SLYSKO (SVK)","BALKO Martin (SVK)",97410100,97410039,"POR","MEX"
"683",683,2006,2006-06-21 21:00:00,"Group C","FIFA World Cup Stadium, Frankfurt","Frankfurt/Main","Netherlands",0,0,"Argentina",NA,48000,0,0,"MEDINA CANTALEJO Luis (ESP)","GIRALDEZ CARRASCO Victoriano (ESP)","MEDINA HERNANDEZ Pedro (ESP)",97410100,97410037,"NED","ARG"
"684",684,2006,2006-06-21 21:00:00,"Group C","FIFA World Cup Stadium, Munich","Munich","C�te d'Ivoire",3,2,"rn"">Serbia and Montenegro",NA,66000,1,2,"RODRIGUEZ Marco (MEX)","CAMARGO Jose Luis (MEX)","LEAL Leonel (CRC)",97410100,97410038,"CIV","SCG"
"685",685,2006,2006-06-22 16:00:00,"Group E","FIFA World Cup Stadium, Hamburg","Hamburg","Czech Republic",0,2,"Italy",NA,50000,0,1,"ARCHUNDIA Benito (MEX)","RAMIREZ Jose (MEX)","VERGARA Hector (CAN)",97410100,97410041,"CZE","ITA"
"686",686,2006,2006-06-22 16:00:00,"Group E","Franken-Stadion","Nuremberg","Ghana",2,1,"USA",NA,41000,2,1,"MERK Markus (GER)","SCHRAER Christian (GER)","SALVER Jan-Hendrik (GER)",97410100,97410042,"GHA","USA"
"687",687,2006,2006-06-22 21:00:00,"Group F","FIFA World Cup Stadium, Dortmund","Dortmund","Japan",1,4,"Brazil",NA,65000,1,1,"POULAT Eric (FRA)","DAGORNE Lionel (FRA)","TEXIER Vincent (FRA)",97410100,97410043,"JPN","BRA"
"688",688,2006,2006-06-22 21:00:00,"Group F","Gottlieb-Daimler-Stadion","Stuttgart","Croatia",2,2,"Australia",NA,52000,1,1,"POLL Graham (ENG)","SHARP Philip (ENG)","TURNER Glenn (ENG)",97410100,97410044,"CRO","AUS"
"689",689,2006,2006-06-23 16:00:00,"Group H","Olympiastadion","Berlin","Ukraine",1,0,"Tunisia",NA,72000,0,0,"AMARILLA Carlos (PAR)","ANDINO Amelio (PAR)","BERNAL Manuel (PAR)",97410100,97410048,"UKR","TUN"
"690",690,2006,2006-06-23 16:00:00,"Group H","Fritz-Walter-Stadion","Kaiserslautern","Saudi Arabia",0,1,"Spain",NA,46000,0,1,"CODJIA Coffi (BEN)","NTAGUNGIRA Celestin (RWA)","ADERODJOU Aboudou (BEN)",97410100,97410047,"KSA","ESP"
"691",691,2006,2006-06-23 21:00:00,"Group G","FIFA World Cup Stadium, Cologne","Cologne","Togo",0,2,"France",NA,45000,0,0,"LARRIONDA Jorge (URU)","RIAL Walter (URU)","FANDINO Pablo (URU)",97410100,97410045,"TOG","FRA"
"692",692,2006,2006-06-23 21:00:00,"Group G","FIFA World Cup Stadium, Hanover","Hanover","Switzerland",2,0,"Korea Republic",NA,43000,1,0,"ELIZONDO Horacio (ARG)","GARCIA Dario (ARG)","OTERO Rodolfo (ARG)",97410100,97410046,"SUI","KOR"
"693",693,2006,2006-06-24 17:00:00,"Round of 16","FIFA World Cup Stadium, Munich","Munich","Germany",2,0,"Sweden",NA,66000,2,0,"SIMON Carlos (BRA)","TAVARES Aristeu (BRA)","CORONA Ednilson (BRA)",97410200,97410049,"GER","SWE"
"694",694,2006,2006-06-24 21:00:00,"Round of 16","Zentralstadion","Leipzig","Argentina",2,1,"Mexico","Argentina win after extra time",43000,0,0,"BUSACCA Massimo (SUI)","BURAGINA Francesco (SUI)","ARNET Matthias (SUI)",97410200,97410050,"ARG","MEX"
"695",695,2006,2006-06-25 17:00:00,"Round of 16","Gottlieb-Daimler-Stadion","Stuttgart","England",1,0,"Ecuador",NA,52000,0,0,"DE BLEECKERE Frank (BEL)","HERMANS Peter (BEL)","VROMANS Walter (BEL)",97410200,97410051,"ENG","ECU"
"696",696,2006,2006-06-25 21:00:00,"Round of 16","Franken-Stadion","Nuremberg","Portugal",1,0,"Netherlands",NA,41000,1,0,"IVANOV Valentin (RUS)","GOLUBEV Nikolai (RUS)","VOLNIN Evgueni (RUS)",97410200,97410052,"POR","NED"
"697",697,2006,2006-06-26 17:00:00,"Round of 16","Fritz-Walter-Stadion","Kaiserslautern","Italy",1,0,"Australia",NA,46000,0,0,"MEDINA CANTALEJO Luis (ESP)","GIRALDEZ CARRASCO Victoriano (ESP)","MEDINA HERNANDEZ Pedro (ESP)",97410200,97410053,"ITA","AUS"
"698",698,2006,2006-06-26 21:00:00,"Round of 16","FIFA World Cup Stadium, Cologne","Cologne","Switzerland",0,0,"Ukraine","Ukraine win on penalties (0 - 3)",45000,0,0,"ARCHUNDIA Benito (MEX)","RAMIREZ Jose (MEX)","VERGARA Hector (CAN)",97410200,97410054,"SUI","UKR"
"699",699,2006,2006-06-27 17:00:00,"Round of 16","FIFA World Cup Stadium, Dortmund","Dortmund","Brazil",3,0,"Ghana",NA,65000,2,0,"MICHEL Lubos (SVK)","Roman SLYSKO (SVK)","BALKO Martin (SVK)",97410200,97410055,"BRA","GHA"
"700",700,2006,2006-06-27 21:00:00,"Round of 16","FIFA World Cup Stadium, Hanover","Hanover","Spain",1,3,"France",NA,43000,1,1,"ROSETTI Roberto (ITA)","COPELLI Cristiano (ITA)","STAGNOLI Alessandro (ITA)",97410200,97410056,"ESP","FRA"
"701",701,2006,2006-06-30 17:00:00,"Quarter-finals","Olympiastadion","Berlin","Germany",1,1,"Argentina","Germany win on penalties (4 - 2)",72000,0,0,"MICHEL Lubos (SVK)","Roman SLYSKO (SVK)","BALKO Martin (SVK)",97410300,97410057,"GER","ARG"
"702",702,2006,2006-06-30 21:00:00,"Quarter-finals","FIFA World Cup Stadium, Hamburg","Hamburg","Italy",3,0,"Ukraine",NA,50000,1,0,"DE BLEECKERE Frank (BEL)","HERMANS Peter (BEL)","VROMANS Walter (BEL)",97410300,97410058,"ITA","UKR"
